OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
27,4147,Boa Esperança,Ribaué pegmatite field, ,Ribaué pegmatite field,site,historic pegmatite mine,Mozambique,Nampula,-15.112,38.168, ,other igneous deposit, ,pegmatite,"KAO, FLD, Zr, REE", , , , ,Occurrence(?), ,"samarskite, polycrase-(Y), pyrochlore, monazite, xenotime","zircon, columbite(?)","quartz, microcline, muscovite",,,,,,,,,,,Cílek (1989); Hains and Mounde (2010),,,,Past producer(?),,,,,,,,,,,,,,,,,,,,,Africa
28,4130,Bofal-Loubboira,Wadi Guellouar, , ,district or area(?), ,Mauritania,Brakna,16.417,-13.75, ,phosphorite, , ,REE, , , , ,Occurrence, ,,,,Middle Eocene,,,,limestone; clay; red sandstones,,,,,,Boujo and Jiddou (1989); de Kun (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
29,4006,Bonga, , , ,intrusion or complex, ,Angola,Huíla,-14.2617,13.9683, ,carbonatite, , ,"Nb, P, REE", , , , ,Occurrence, ,"parisite, synchysite","apatite, pyrite, barite, pyrochlore, magnetite, rutile, strontianite","garnet, calcite, ankerite-dolomite, biotite",,,,,"carbonatite, fenite",,,,,,Alberti and others (1999); Coltorti and others (1993); Filho and others (1991); Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
30,4223,Boorama, , , ,site(?), ,Somalia,Awdal,10.05,43.083, ,unclassified, , ,"Ta, REE", , , , ,Occurrence, ,pyrochlore,pyrochlore,,,,,,,,,,,,Arab Organisation for Mineral Resources (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
31,4131,Bou Naga, ,Guelb Zeilaga, ,intrusion or complex, ,Mauritania,Trarza,18.9833,-13.3167, ,carbonatite, , ,"REE, Ba, F", , , , ,Deposit,"deposit, small","bastnäsite, monazite","apatite, barite, fluorite",,,,,,hydrothermal carbonatite,,,,Peaks Metals & Mining Technology Co.,LREE dominant. Deposit was worked for 18 months 1968-1970.,Arab Organisation for Mineral Resources (1987); Jackson and Christiansen (1993); Mauritanie Ressources Limited and Société Mauritanienne de l'Industrie Minière (2011); Neary and Highley (1984); Weng and others (2015),,,,Past producer,,1967–1970,,"Deposit was worked approximately 18 months between 1967 and 1970; over 1,200 t of yttrium concentrate was produced.",0.1,,4.4,,,,,,,,8,,1970,Jackson and Christiansen (1993),Not compliant,,Africa
32,4194,Brandberg,Eris,Amis, ,intrusion or complex, ,Namibia,Erongo,-21.1333,14.55, ,unclassified, , ,"Sn, W, REE", , , , ,Showing, ,"allanite, chevkinite, monazite","fluorite, (uranpyrochlore), zircon","arfvedsonite, quartz, riebeckite, astrophyllite",Lower Cretaceous,,,,biotite granite,,,,,,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
33,4226,Buffalo Fluorspar, , , ,site,historic F mine,South Africa,Limpopo,-24.4811,28.6619, ,fluorite deposit; tailings, , ,"F, REE", , , , ,Deposit, ,"monazite, fluorite, allanite, bastnäsite","fluorite, apatite",,Mesoproterozoic,,,,granite,,,,,"F veins in leptite pendants of the Bushveld Granite; Hoshino (2013) reports average of 3,089 ppm REE in tailings.",Gieré (1996); Hoshino (2013); Jackson and Christiansen (1993); Neary and Highley (1984); Watson and Snyman (1975),,,,No production,,,,,50,,,,,,,,,,1,,1989,Jackson and Christiansen (1993),Not compliant,,Africa
34,4272,Bukusu,"Busumbu, Busumu, Busuku", , ,intrusion or complex,intrusion with historic P mine,Uganda,Eastern,0.883,34.267, ,carbonatite with residual enrichment, , ,"P, REE, Cu", , , , ,Occurrence, ,pyrochlore,"apatite, carbonate-fluorapatite, magnetite, vermiculite, zircon, barite, pyrochlore, baddeleyite",,Tertiary (Paleogene–Neogene?),,,,"carbonatite, agglomerate, ijolite, melteigite, nepheline syenite",,,,,Residual soils ≤ 60 m thick. Francolite occurs in a secondary phoscrete (concretionary hard pan).,Mathers (1994); de Kun (1987); Plummer (1968); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
35,4077,Buru, , , ,intrusion or complex, ,Kenya,Rift Valley,-0.1895,35.1643,Just SW of the Tinderet volcano.,carbonatite with residual enrichment,volcanic, ,REE, , , , ,Occurrence, ,"bastnäsite, monazite, parisite, synchysite","fluorite, pyrochlore, barite, magnetite, apatite, hematite, goethite, siderite, fluorite, psilomelane","calcite, biotite, aegirine",Neogene,Probably 5-22 Ma,Neogene,,"laterized pyroclastic ferrocarbonatite, calciocarbonatite, carbonatite tuff, fenite",,,,,In Nyanza rift; tuff is laterized.,Onuonga and Bowden (2000); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
36,4227,Bushmanland, , , ,district or area, ,South Africa,Northern Cape,-30.4,18.6, ,other igneous deposit,REE-bearing pipes and monazite-magnetite veins that may be related to intrusions with alkaline or carbonatite affinity, ,REE, , , , ,Showing(?), ,,monazite,magnetite,,,,,"volcanic ash, tuff, other",,,,Frontier Rare Earths Ltd.,,Frontier Rare Earths Ltd. (2012b),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
37,4094,Caldera, , , ,site, ,Madagascar,Antsiranana,-13.8056,48.1877, ,supergene,"laterite, ion adsorption", ,REE, , , , ,Occurrence, ,,,,,,,,weathered granite,,,,Tantalus Rare Earths AG (TRE),,Gilbertson and others (2011); Pittuck (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
38,4228,Cape Morgan, , , ,district or area, ,South Africa,Eastern Cape,-32.7,28.3667, ,shoreline placer, , ,"Ti, Zr, Fe, REE", , , , ,Occurrence, ,,"ilmenite, rutile, magnetite, zircon",quartz,Holocene,,Holocene,,beach sand and dunes,,,,,,Taylor and others (2005); Towner and others (1988),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
39,4007,Capuia, , , ,intrusion or complex, ,Angola,Huambo,-11.886,16.2347,Source gave Province as Bié.,carbonatite, , ,"U, P, Ba, REE, Th, Sr, Nb, Cu, Zn, Zr", , , , ,Occurrence, ,,"magnetite, barite",calcite,,,,,"carbonatite, fenite",,,,,High grades of REE and Th have been reported.,Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
40,4105,Chambe,Mt. Mulanje, , ,site, ,Malawi,Mulanje,-15.9145,35.535, ,supergene,ion adsorption(?), ,REE, , , , ,Showing, ,,,"kaolinite, biotite, albite, orthoclase, muscovite, quartz",,,,,weathered syenite,,,,"Gold Canyon Resources Inc., JOGMEC","Le Couteur (2011) reports fairly low REE values (200-700 ppm), but 74 percent appear to be easily leachable.",Chiwanbo and Malikebu (2013); Le Couteur (2011); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
41,4284,Chilembwe,Petauke, , ,intrusion or complex, ,Zambia,Eastern,-13.983,31.683, ,alkaline igneous, , ,"P, REE", , , , ,Occurrence, ,,"apatite, fluorapatite","quartz, (hornblende), biotite",Upper Cambrian,,,,syenite,,,,,Approximately five orebodies are intruded into syenite.,de Kun (1987); Simukanga and others (1994); van Straaten (2002),1978,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
42,4106,Chilwa Island,Shirwa Island, , ,intrusion or complex, ,Malawi,Zomba,-15.3306,35.6163, ,carbonatite with residual enrichment, , ,"P, REE", , , , ,Occurrence, ,"florencite, synchysite, bastnäsite, monazite, parisite","apatite, pyrochlore, rutile, tantalite, magnetite, pyrite","microcline, calcite, biotite, quartz",Lower Cretaceous,,,,"carbonatite, sövite, breccia",Chilwa Island carbonatite,,,,,Gupta and Krishnamurthy (2005); Malunga and others (1991); Overstreet (1967); Weng and others (2015); Woolley (2001),,,,No production,,,,,0.38,,5.0,,,,,,,,,,,Weng and others (2015),Not compliant,,Africa
43,4285,Chondoka, , , ,site, ,Zambia,Central,-13.3833,29.55,Estimated location.,paleoplacer(?), , ,"Au, REE", , , , ,Occurrence, ,"monazite, xenotime",zircon,,,,,,pebble conglomerate,Muva Supergroup,quartzite,,,,Mambwe and Mwape (1991),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
44,4195,Christiana Farm, , , ,site, ,Namibia,Otjozondjupa,-19.0167,18.1096, ,carbonatite with residual enrichment, , ,REE, , , , ,Occurrence, ,,,,,,,,,,,,Avonlea Minerals Ltd.,,Avonlea Minerals Ltd. (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
45,4148,Cone Negosa,Negoza, , ,intrusion or complex, ,Mozambique,Tete,-15.533,31.267, ,carbonatite with residual enrichment, , ,"Ti, Fe, REE", , , , ,Occurrence, ,"bastnäsite, monazite","pyrite, barite, pyrochlore, brookite, fluorapatite",,,,,,"carbonatite, rauhaugite",,,,,Volcanic vent.,Cílek (1989); Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
46,4008,Coola, , , ,intrusion or complex, ,Angola,Huambo,-12.517,15.267, ,carbonatite, , ,"F, Ba, Sr, Nb, Zn", , , , ,Occurrence, ,"parisite, synchysite, RE phosphates","barite, fluorite","dolomite, calcite, quartz",Cretaceous,,,,"carbonatite breccia, syenite, ijolite, fenite",,,,,As much as 12500 ppm La has been detected in samples.,Alberti and others (1999); Filho and others (1991); Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
47,4224,Darkainle, , , ,intrusion or complex, ,Somalia,Awdal,10.4,43.267, ,carbonatite, , ,"REE, Mo, Sr, Cu", , , , ,Occurrence, ,allanite,"magnetite, barite, powellite, molybdenite, apatite, zircon, pyrochlore, pyrite, pyrrhotite","dolomite, calcite, quartz",,,,,"carbonatite, syenite, nepheline syenite, gneiss",,,,,,Alberti and others (1999); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
48,4150,Deia, , , ,district or area, ,Mozambique,Zambézia,-18.234,36.8039,Estimated location.,shoreline placer, , ,"Ti, REE", , , , ,Occurrence, ,monazite,,,,,,,beach sand,,,,,Monazite is 0.5-5.8 percent of HM.,Cílek (1989),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Africa
49,4137,Drag,Glibat Drag, , ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,22.2099,-14.9248,This part of Morocco is in dispute with Western Sahara. ,carbonatite, , ,"Nb, REE, Ta, U", , , , ,Occurrence, ,,iron oxide,,,,,,"dolomitic carbonatite, iron oxide breccia",,Proterozoic gneiss,,,Related to Glibat Lafhouda carbonatite mineralization.,"Morocco ONHYM (2011, 2015b)",,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
50,4138,El Hammam, , , ,site,F mine,Morocco,Meknès-Tafilalet,33.5575,-5.808, ,fluorite deposit,alkalic igneous,veins,"F, REE", , , , ,Occurrence, ,"fluorite, calcite, siderite","fluorite, siderite","calcite, quartz",Upper Triassic,205 ± 1 Ma,Devonian; Carboniferous,,"schist, sandstone; limestone",,,hydrothermal,,Up to 1400 ppm REE has been reported in calcite and up to 2000 ppm in siderite in fluorite-calcite veins.,Cheilletz and others (2010); Chraibi and others (2013),,,underground,No production,,,,,,,,,,,,,,,,,,,,,Africa
51,4055,El Kharrouba, , , ,site, ,Egypt,Shamal Sina',31.1849,33.9699, ,shoreline placer, , ,"Fe, Ti, Zr, REE", , , , ,Showing, ,monazite,"magnetite, ilmenite, cassiterite, zircon, native gold, sillimanite",orthoclase,,,,,dune sand,,,,,Heavy minerals range from 1.06 percent to 9.23 percent (average 4.58 percent)of the dune sand.,Abdel-Razek and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
52,4058,El Messaid,"El Messaid, El Masaid", , ,site, ,Egypt,Shamal Sina',31.121,33.7002, ,shoreline placer, , ,"Fe, Ti, Zr, REE", , , , ,Showing, ,monazite,"magnetite, ilmenite, cassiterite, zircon, native gold, sillimanite",orthoclase,,,,,beach sand,,,,,Heavy minerals range from 3.56 percent to 14.68 percent (average 7.10 percent)of the beach sand.,Abdel-Razek and others (2013); Dawood and Abd El-Naby (2007),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
53,4060,El Tina, , , ,district or area,bay,Egypt,Shamal Sina',31.0565,32.6138, ,shoreline placer, , ,REE, , , , ,Occurrence, ,monazite,,,,,,,black sand,,,,,,Dawood and Abd El-Naby (2007),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
54,4196,Etaneno, , , ,district or area, ,Namibia,Otjozondjupa,-20.697,16.2015, ,shoreline placer(?), , ,REE, , , , ,Deposit, ,monazite,,,,,,,,,,,,,Gupta and Krishnamurthy (2005),,,,No production,,,,,,,0.02,,,,,,,,,,1989,Gupta and Krishnamurthy (2005),Not compliant,,Africa
55,4197,Eureka, , , ,intrusion or complex, ,Namibia,Erongo,-21.9667,15.3167, ,carbonatite, ,dikes,"Zr, REE", , , , ,Deposit, ,monazite,"magnetite, graphite","dolomite, calcite, goethite",Cambrian–Ordovician,,,,carbonatite,,fenetized quartzite,,Magna Mining NL,"Carbonatite dikes on Eureka 99 Farm, 38 km west of Usakos. Resource estimate is to depth of 20 m.",McManus and Schneider (1994); Murray (1989); Murray (1991); Woolley (2001),,,,No production,,,,,0.03,,,6.3% REE,,,,,,,,,1989,McManus and Schneider (1994),Not compliant,Resource to 20 m depth.,Africa
56,4229,Fairbreeze, , ,Richards Bay,district or area, ,South Africa,Kwazulu-Natal,-29.0219,31.6766, ,shoreline placer, , ,"Ti, Zr, Fe, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile",,,,,,,,,,Tronox Limited,,Tronox (2014),,,,No production,Under development for TiO2.,,,,,,,,,,,,,,,,,,,,Africa
57,4075,Firawa, , , ,site(?), ,Guinea,Faranah,9.2089,-9.8006, ,uranium deposit; supergene,U-REE in laterite, ,"U, REE", , , ,resampling of historic drill holes showed 1.26-3.29% TREO,Occurrence, ,,crandellite,,,,,,"laterized granite, gneiss, amphibolite, carbonatite, gabbro, dolerite",,,laterization,Forte Energy NL,Reportedly 1-2 percent REE present in U deposit.,Forte Energy NL. (2011); World Nuclear Association (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
58,4036,Fogo, , , ,district or area, ,Cabo Verde,Fogo Island,14.9323,-24.4846, ,alkaline igneous with residual enrichment; supergene,paleosol developed on mafic lapilli, ,"P, Cr, As, REE", ,REE is largely LREE, , ,Showing, ,,"fluorapatite, magnetite, maghemite, hematite","pyroxene, mica, plagioclase, quartz, olivine, muscovite (illite)",,,,,paleosol,,,,,,Marques and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
59,4037,Fogo, , , ,intrusion or complex, ,Cabo Verde,Fogo Island,14.925,-24.397,Location is central to the island.,carbonatite, , ,"Zr, Nb, REE, Th", , , , ,Showing, ,"loparite-(Ce), bastnäsite, monazite","zirconolite, pyrochlore, zircon, thorite","calcite, dolomite, ankerite, biotite, amphibole, pyroxene, feldspar",Pliocene(?),~4.5 Ma,Pliocene(?),,calcite and dolomite carbonatite,,,,,Carbonatite is considered to be oldest rock of the island.,Kogarko and others (2009); Marques and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
60,4095,Fort Dauphine,"QMM, Taolagnaro","includes Mandena, Petrika, Sainte Luce sectors", ,district or area, ,Madagascar,Toliara,-25.0001,46.998,Estimated location.,shoreline placer, , ,"Ti, Th, REE, Zr", , , , ,Deposit, ,monazite,ilmenite,,Cenozoic(?),,,,,,,,,,O'Driscoll (1988); Overstreet (1967); Taylor and others (2005),,,,Past producer,,,,,60,,,,,,,,,,1.49,,,O'Driscoll (1988),Not compliant,,Africa
61,4019,Gakara,Karonge, , ,intrusion or complex,historic REE mine,Burundi,Bujumbura Rural,-3.5022,29.4492, ,carbonatite with residual enrichment, ,"veins, veinlets, stockworks",REE,"enriched in Dy, Eu",enriched in Nd, , ,Deposit, ,"bastnäsite, monazite, rhabdophane, cerianite-(Ce), fluocerite","cassiterite, barite, pyromorphite, galena","quartz, carbonate, microcline, biotite, goethite, mica",Neoproterozoic,,,,"metasedimentary rocks, gneiss, granite",,,,Rainbow Rare Earths Limited,"REE deposit in quartz-barite-bastnäsite-monazite stockworks of uncertain affiliation, but assumed in references to have carbonatite source. Weathering has produced rhabdophane and cerianite-(Ce). Production ceased, due to irregular distribution of grade, in",Berger and others (2009); de Kun (1987); Harben and Bates (1990); Jackson and Christiansen (1993); Jepson (2012); Lehmann and (1994); Mariano (1989); Möller (1989a); Rainbow Rare Earths (2014); Van Wambeke (1977); Woolley (2001); Yager (2002),1936,,,Past producer,,1948–1978,Yager (2002),"5,000 t basnäsite was produced from 1948–1978.",1) 0.06; 2) 0.256,0.142,1) 1.59; 2) 54.3,,,,,,3.0 bastnäsite,,,,2) 2014,1) Jackson and Christiansen (1993); 2) Rainbow Rare Earths (2014),1) Not compliant; 2) NI43-101 compliant,,Africa
62,4062,Gara El Hamra, , , ,intrusion or complex, ,Egypt,Al Wadi al Jadid,23.0299,31.3148,Estimated location.,alkaline igneous,"impregnations, fracture fillings, veinlets", ,"REE, Th, U, Zr, Nb, Be", , , , ,Occurrence, ,"xenotime, parisite, bastnäsite, pyrochlore, gadolinite, gagarinite","thorite, zircon, pyrochlore, gittinsite","barite, calcite, fluorite",,,,,"syenite, altered syenite, peralkaline granite",,,"hydrothermal, hematization",,Content of ore minerals is reported to be directly proportional to the degree of alteration.,Abdalla (2006),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
63,4020,Gasagwe, , , ,site, ,Burundi,Bujumbura Rural,-3.5173,29.4229, ,other igneous deposit,metasomatic vein with REE, ,REE, ,"enriched in Ce, La, Nd", , ,Occurrence, ,"bastnäsite, monazite, cerianite-(Ce), rhabdophane",barite,quartz,,,,,"mica schist, quartzite; granite gneiss, migmatite",Karinzi Fm; Mugere complex,,,,,Ntiharirizwa (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
64,4231,Glenover, , , ,intrusion or complex,historic P mine,South Africa,Limpopo,-23.8684,27.1628, ,carbonatite, , ,"P, Nb, Sc, REE, Ta", , , , ,Deposit, ,"fergusonite, euxenite-(Y), loparite-(Ce), samarskite, synchysite","apatite, pyrochlore, columbite, barite, celestine, galena, perovskite, rutile, magnetite, anatase, pyrite, chalcopyrite, zircon, fluorite","pyroxene, calcite, phlogopite, quartz",Paleoproterozoic,,Paleoproterozoic,,"carbonatite, pyroxenite, breccia",,,,Galileo Resources PLC (2013),Carbonatite with apatite-Fe oxide breccia body & 3 pyroxenite zones with apatite & vermiculite; apatite locally constitutes 20 percent of the ore; low thorium content.,Bruno (2013b); Elliott (2012a); Galileo Resources PLC (2012); Möller (1989a); Woolley (2001),,,,No production,,,,,,0.1671,,,,,,,,,,,,Bruno (2013b),SAMREC / JORC / NI43-101 compliant,,Africa
65,4139,Glibat Lafhouda, , , ,intrusion or complex, ,Morocco,Oued ed Dahab-Lagouira,22.1478,-14.8402,This part of Morocco is in dispute with Western Sahara. ,carbonatite, , ,"Fe, Nb, REE, U, Ta", , , , ,Deposit, ,,iron oxide,,,,,,"dolomitic carbonatite, iron oxide breccia",,"schist, gneiss",,,Higher REE values associated with iron oxides; Drag and Al Farnan deposits are related to Glibat Lafhouda.,"Morocco ONHYM (2011, 2015a)",2002,,,No production,,,,,49 resource,,0.2,,,,,,,,,"0.4% Nb2O5, 265 ppm Ta2O5, 508 ppm U3O8, 35% Fe2O3",,Morocco ONHYM (2011),Not compliant,,Africa
66,4021,Gomvi I, , , ,site, ,Burundi,Bujumbura Rural,-3.5502,29.4133, ,other igneous deposit,metasomatic vein with REE, ,REE, ,"enriched in Ce, La, Nd", , ,Occurrence, ,"bastnäsite, monazite, cerianite-(Ce), rhabdophane",barite,quartz,,,,,"mica schist, quartzite; granite gneiss, migmatite",Karinzi Fm; Mugere complex,,,,,Ntiharirizwa (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
67,4022,Gomvi II, , , ,site, ,Burundi,Bujumbura Rural,-3.5422,29.4119, ,other igneous deposit,metasomatic vein with REE, ,REE, ,"enriched in Ce, La, Nd", , ,Occurrence, ,"bastnäsite, monazite, cerianite-(Ce), rhabdophane",barite,quartz,,,,,"mica schist, quartzite; granite gneiss, migmatite",Karinzi Fm; Mugere complex,,,,,Ntiharirizwa (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
68,4151,Gorai, , , ,district or area, ,Mozambique,Zambézia,-17.3305,38.0202,Estimated location.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,ilmenite,,,,,,beach sand,,,,,Monazite is ~0.5 percent of HM.,Cílek (1989),,,,No produciton(?),,,,,,,,,,,,,,,,,,,,,Africa
69,4232,Goudini,Ystervarkkop, , ,intrusion or complex, ,South Africa,North-West Province,-25.0251,26.2009, ,carbonatite, , ,REE, , , , ,Occurrence, ,xenotime(?),"rutile, apatite, pyrite, barite, fluorite, anatase, brookite","ankerite, calcite, dolomite, aegirine, limonite, albite, phlogopite, quartz",,,,,"sövite and beforsite (some metamorphosed), volcanic breccia, tuff",,,,,The Goudini volcano sits atop ultrabasic rocks on the eastern margin of the Bushveld Complex.,Adrian and others (1989); Mariano (1989); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
70,4198,Granitberg, , , ,intrusion or complex, ,Namibia,Karas,-27.3333,15.3333, ,unclassified,uncertain if alkaline igneous or metamorphic, ,REE, , , , ,Showing, ,eudialyte,"låvenite, astrophyllite, titanite, magnetite","aenigmatite, arfvedsonite, biotite, perthite, nepheline, pyroxene, sodalite",Lower Cretaceous,,Lower Cretaceous,,foyaite,,"Precambrian granite, gneiss, sandstone, dolomite",,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
71,4132,Guelb Zeilaga, , ,Bou Naga,intrusion or complex, ,Mauritania,Trarza,19,-13.3, ,alkaline igneous, , ,"REE, Ba, F", , , , ,Deposit,"deposit, small",bastnäsite,,,,,,,alkaline igneous rocks,,,,,Pipe(?),Arab Organisation for Mineral Resources (1987); Mauritanie Ressources Limited and Société Mauritanienne de l'Industrie Minière (2011),,,,Past producer(?),,,,Unclear if production attributed to Bou Naga was from this site.,,,,,,,,,,,,,,,,,Africa
72,4152,Guilherme,Guilharme, ,Nauela pegmatite field,site,historic pegmatite mine,Mozambique,Nampula,-14.4,40.35,Near Ribaue.,other igneous deposit,pegmatite,pegmatite,"Bi, Be, REE", , , , ,Deposit, ,"euxenite-(Y), monazite","bismutite, beryl","quartz, microcline",,,,,,,,,,,Cílek (1989); Hains and Mounde (2010); Premoli (1994),,,,Past producer,,,,Past producer of euxenite-(Y); last production reported in 1966.,,,,,,,,,,,,,,,,,Africa
73,4264,Hahotoé-Kpogamé, , , ,district or area, ,Togo,Maritime,6.3167,1.3484, ,phosphorite; supergene, , ,"P, U, REE", , , , ,Occurrence, ,carbonate-rich fluorapatite,"carbonate-rich fluorapatite, crandallite, wavellite, strengite","kaolinite, goethite, smectite, quartz, calcite",,,Eocene: Ypresian–Lutetian,,"phosphorite, phosphatic limestone",,,,,,Gnandi and Tobschall (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
74,4199,Hoarusib, , , ,intrusion or complex, ,Namibia,Otjozondjupa,-19.2896,18.0925, ,carbonatite with residual enrichment, , ,REE, , , , ,Showing, ,,,,,,,,,,,,Avonlea Minerals Ltd.,,Clarke (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
75,4153,Idugo, , , ,district or area, ,Mozambique,Zambézia,-17.725,37.1474,Estimated location.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon",,,,,,beach and dune sand,,,,,Monazite is ~0.8 percent of HM.,Cílek (1989),,,,No produciton(?),,,,,,,,,,,,,,,,,,,,,Africa
76,4154,Ile,Namatacatue, ,Errego pegmatite field,district or area(?), ,Mozambique,Zambézia,-16.033,37.083, ,other igneous deposit,pegmatite,pegmatite,REE, , , , ,Occurrence, ,euxenite-(Y),,,,,,,,,,,,,Cílek (1989);  Hains and Mounde (2010); Premoli (1994),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
77,4109,Ilomba,Ilomba Hill, ,Songwe,intrusion or complex, ,Malawi,Chitipa,-9.5442,33.1823, ,alkaline igneous, , ,"U, Nb, REE, Th", , , , ,Occurrence, ,eudialyte,"pyrochlore, U-pyrochlore, Nb-bearing tantalite, apatite, zircon","aegirine, calcite, amphibole",Neoproterozoic–Lower Paleozoic,,,,"nepheline syenite, aegirine syenite",,,,"Resource Star Ltd., Nyalihanga Enterprises Ltd.",,Chiwanbo and Malikebu (2013); Resource Star Ltd. (2011); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
78,4002,In' Ouzzal,Ihouhaouene, , ,intrusion or complex, ,Algeria,Tamanghasset,23.6197,3.2702,Estimated location.,carbonatite, , ,REE, , , , ,Showing, ,"fluorapatite, allanite, britholite","fluorapatite, magnetite, titanite, zircon","calcite, pyroxene, calcic amphibole, potassic feldspar, biotite, quartz, wollastonite",,,Paleoproterozoic,,"carbonatite, syenite",,syenite,,,,Ouzegane and others (1988); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
79,4156,Inhambane Bay, , , ,district or area, ,Mozambique,Inhambane,-23.837,35.502,Estimated location.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon",,,,,,dune sand,,,,,Monazite is ~0.5 percent of HM.,Cílek (1989),,,,No produciton(?),,,,,,,,,,,,,,,,,,,,,Africa
80,4096,Itremo, , , ,intrusion or complex, ,Madagascar,Fianarantsoa,-20.65,46.5833,Estimated location.,alkaline igneous, , ,"Nb, REE", , , , ,Occurrence, ,"bastnäsite, parisite",pyrochlore,"microcline, arfvedsonite, aegirine, orthoclase, nepheline",,,,,peralkaline rocks,,,,,Pegmatites related to peralkaline rocks; pegmatite-like dikes.,de Kun (1987); Möller (1989a),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
81,4084,Jabal Archenu, , , ,intrusion or complex, ,Libya,Al Kufrah,22.2496,24.7023, ,alkaline igneous, , ,REE, , , , ,Occurrence, ,eudialyte,"titanite, lorenzenite, magnetite, ilmenite, låvenite","nepheline, analcime, sodalite, zeolite, pyroxene, amphibole, biotite, catapleiite, låvenite, cancrinite",Paleogene,,Paleogene,,"syenite, phonolite, trachyte",,,,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
82,4085,Jabal Fezzan, , , ,intrusion or complex, ,Libya,Wādī ash Shāţi,28.3333,13.6667, ,other igneous deposit, ,"dikes, sills",REE, , , , ,Showing, ,eudialyte,,"feldspar, nepheline, aegirine, zeolite",,,,,phonolite,,"granite, metamorphic rocks",,,Eudialyte is reportedly present in one or more of the phonolite bodies.,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
